,p,d,q,ps,ds,qs,s,filter,filt_q,smape,is_log,is_norm
Main_Page_en.wikipedia.org_all-access_all-agents,2,1,1,3,0,2,7,quantile_filter,0.95,5.3,True,True
大塚芳忠_ja.wikipedia.org_all-access_all-agents,2,0,3,3,0,2,7,quantile_filter,0.93,20.6,True,True
The_Huntsman:_Winter's_War_en.wikipedia.org_mobile-web_all-agents,1,1,0,3,0,1,7,deriv_filter,0.93,22.4,True,True
Temperatura_es.wikipedia.org_all-access_all-agents,2,0,2,3,1,0,7,quantile_filter,1.0,19.7,True,True
Resident_Evil_7:_Biohazard_en.wikipedia.org_all-access_all-agents,2,1,1,2,1,0,7,deriv_filter,0.98,10.2,True,True
"Путин,_Владимир_Владимирович_ru.wikipedia.org_mobile-web_all-agents",1,0,0,3,1,2,7,deriv_filter,0.9,21.2,True,True
Coca-Cola_en.wikipedia.org_all-access_all-agents,3,0,3,2,1,0,7,quantile_filter,0.93,9.6,True,True
Josh_Brolin_en.wikipedia.org_all-access_all-agents,3,0,1,3,1,3,7,quantile_filter,1.0,25.6,True,True
Dick_Van_Dyke_en.wikipedia.org_all-access_all-agents,2,0,1,2,1,2,7,quantile_filter,0.98,17.9,True,True
Cinco_de_Mayo_en.wikipedia.org_all-access_all-agents,2,1,1,3,0,1,7,quantile_filter,0.9,15.2,True,True
